plot,site,ft,asn,lat,long,datum,ba ,st.ha,ts,bearing,aspect,slope,canopy.cover,cwd.no,cwd.con,vcwd,vcwd.con,avg.dc,tot.snags,avg.snag.ht,avg.snag.dbh,soil.ph
SC1TS,SC1,TS,1,N 42°28.500',W 72°10.162',NAD83,40.3,1132,0.62,90,E,19,88,12,12,34,34,4.1,6,3,7,3.776
SC1TS,SC1,TS,2,N 42°28.486',W 72°10.149',NAD83,38.4,1075,0.72,86,E,10,91,7,5,137.8,3.9,3,3,2,17,3.808
SC1TS,SC1,TS,3,N 42°28.469',W 72°10.166',NAD83,41.3,1585,0.53,83,E,12,91,14,12,102.1,99,4.1,1,14,10,3.719
SC1TS,SC1,TS,4,N 42°28.482',W 72°10.183',NAD83,57.8,679,1,82,E,24,90,7,6,17.3,15.5,4.6,3,7,17,3.798
SC1TS,SC1,TS,5,N 42°28.491',W 72°10.165',NAD83,36.5,679,0.78,86,E,24,91,6,6,17.2,17.2,3.5,5,8,9,3.848
SC1MD,SC1,MD,1,N 42°28.303',W 72°10.080',NAD83,22.5,736,0,84,E,4,84,17,14,73,63.1,3.7,5,2,13,3.723
SC1MD,SC1,MD,2,N 42°28.297',W 72°10.081',NAD83,17.6,566,0,80,E,4,89,5,4,17.7,16.5,2.8,3,11,16,4.763
SC1MD,SC1,MD,3,N 42°28.329',W 72°10.092',NAD83,20.5,736,0,77,E,11,90,10,8,29.7,28.7,3.8,3,9,14,4.515
SC1MD,SC1,MD,4,N 42°28.326',W 72°10.068',NAD83,25.7,905,0,84,E,9,87,10,7,16.5,15.1,3.2,5,4,10,4.312
SC1MD,SC1,MD,5,N 42°28.320',W 72°10.090',NAD83,50.4,1302,0,95,E,10,87,7,6,13.5,8.9,3.7,5,6,11,4.192
TS1TS,TS1,TS,1,N 42°30.082',W 72°12.385',NAD83,50.7,679,0.29,302,NW,10,96,9,8,25.7,25.2,3.4,1,5,7,3.803
TS1TS,TS1,TS,2,N 42°30.092',W 72°12.357',NAD83,42.1,1019,0.5,270,W,20,95,11,6,63.7,52.2,3,4,5,30,3.724
TS1TS,TS1,TS,3,N 42°30.068',W 72°12.354',NAD83,16.5,340,0.4,280,W,14,93,6,3,14.9,12.5,3,4,7,20,3.906
TS1TS,TS1,TS,4,N 42°30.072',W 72°12.393',NAD83,39.4,679,1,319,NW,2,92,4,2,7.5,2.5,3,0,0,0,4.263
TS1TS,TS1,TS,5,N 42°30.081',W 72°12.387',NAD83,74.6,792,0.35,305,NW,10,94,8,6,8.4,6.6,3.5,0,0,0,3.639
TS1MD,TS1,MD,1,N 42°29.971',W 72°12.251',NAD83,29.9,1811,0.17,248,W,18,91,0,0,0,0,0,2,11,11,3.525
TS1MD,TS1,MD,2,N 42°29.986',W 72°12.268',NAD83,27.4,1302,0.12,114,SE,4,90,9,8,15.5,14.9,3.1,5,5,8,3.368
TS1MD,TS1,MD,3,N 42°29.961',W 72°12.265',NAD83,35.9,1754,0,262,W,13,86,2,2,2.5,2.5,3.5,10,6,7,3.48
TS1MD,TS1,MD,4,N 42°29.976',W 72°12.290',NAD83,30.7,1471,0.26,268,W,16,91,14,10,55.3,47.6,3.4,9,5,7,4.196
TS1MD,TS1,MD,5,N 42°29.978',W 72°12.265',NAD83,36.9,1585,0.02,260,W,8,88,9,9,16,16,4,4,7,11,3.572
PHTS,PH,TS,1,N 42°32.322',W 72°10.721',NAD83,43.2,736,0.86,FLAT,NA,FLAT,93,7,6,7.3,5.6,4.1,2,1,7,3.48
PHTS,PH,TS,2,N 42°32.292',W 72°10.701',NAD83,39.9,566,0.66,FLAT,NA,FLAT,94,7,7,7.3,7.3,4.1,2,4,13,3.467
PHTS,PH,TS,3,N 42°32.293',W 72°10.733',NAD83,51.6,905,0.77,FLAT,NA,FLAT,93,12,10,49,8.2,4.1,2,6,13,3.6
PHTS,PH,TS,4,N 42°32.321',W 72°10.734',NAD83,80.7,566,0.22,FLAT,NA,FLAT,96,5,4,34.2,20,4,4,8,24,3.526
PHTS,PH,TS,5,N 42°32.310',W 72°10.720',NAD83,47.1,566,0.49,FLAT,NA,FLAT,94,9,6,47,23.3,4.1,5,6,10,3.786
PHMD,PH,MD,1,N 42°32.363',W 72°10.964',NAD83,17.2,1245,0,146,SE,6,92,1,1,5.2,5.2,5,6,7,10,3.518
PHMD,PH,MD,2,N 42°32.346',W 72°10.951',NAD83,18.4,1641,0,138,SE,9,89,9,6,9,4.2,3.1,8,8,8,3.748
PHMD,PH,MD,3,N 42°32.342',W 72°10.973',NAD83,18.7,1641,0,188,S,10,89,5,3,4.3,1.6,3.2,7,5,6,3.821
PHMD,PH,MD,4,N 42°32.350',W 72°10.980',NAD83,16.1,1188,0,208,SW,2,94,9,8,8.8,8.4,3.2,5,4,7,3.611
PHMD,PH,MD,5,N 42°32.343',W 72°10.968',NAD83,20.3,1415,0,150,SE,8,89,5,5,5.1,5.1,3.8,3,5,6,3.489
TS2TS,TS2,TS,1,N 42°30.428',W 72°12.891',NAD83,42.2,1302,0.75,140,SE,6,90,7,5,6.2,4.8,3.4,2,5,9,3.453
TS2TS,TS2,TS,2,N 42°30.412',W 72°12.870',NAD83,27.6,566,0.52,145,SE,6,94,5,5,6.1,6.1,3.6,3,6,11,3.576
TS2TS,TS2,TS,3,N 42°30.407',W 72°12.873',NAD83,34.8,905,0.37,160,S,8,94,8,8,5.8,5.8,3.5,1,2,7,3.732
TS2TS,TS2,TS,4,N 42°30.410',W 72°12.910',NAD83,51.8,1471,0.79,297,NW,9,94,4,4,41.4,41.4,4,6,10,11,3.548
TS2TS,TS2,TS,5,N 42°30.421',W 72°12.891',NAD83,58,1698,0.71,290,W,16,94,5,5,17.4,17.4,3.2,4,8,11,3.642
TS2MD,TS2,MD,1,N 42°30.709',W 72°12.999',NAD83,19.5,679,0,58,E,6,86,17,17,40.2,40.2,3.9,7,6,15,4.592
TS2MD,TS2,MD,2,N 42°30.705',W 72°12.980',NAD83,71.2,962,0.11,63,E,9,92,8,4,61.4,6.1,3.3,2,6,10,4.545
TS2MD,TS2,MD,3,N 42°30.677',W 72°12.981',NAD83,9.4,622,0,123,SE,11,92,12,10,23.7,22.7,3,1,18,31,4.342
TS2MD,TS2,MD,4,N 42°30.701',W 72°13.003',NAD83,38,849,0.51,94,E,15,91,4,3,18.9,18.2,4.3,2,4,12,4.183
TS2MD,TS2,MD,5,N 42°30.702',W 72°13.000',NAD83,41,1075,0,90,E,6,92,17,17,27.8,27.8,3.9,5,10,16,4.279
SC2TS,SC2,TS,1,N 42°27.243',W 72°10.134',NAD83,60.8,905,0.41,224,SW,15,90,9,9,25.6,25.6,3.7,0,0,0,3.646
SC2TS,SC2,TS,2,N 42°27.217',W 72°10.117',NAD83,41.1,622,0.87,204,SW,6,89,5,3,9.6,8.5,2.6,4,6,15,4.07
SC2TS,SC2,TS,3,N 42°27.214',W 72°10.136',NAD83,43,1075,0.57,194,S,8,92,6,5,40.4,39.5,3.2,2,12,17,3.447
SC2TS,SC2,TS,4,N 42°27.234',W 72°10.145',NAD83,64.3,849,0.52,270,W,13,89,7,7,3.4,3.4,3.3,4,7,26,3.557
SC2TS,SC2,TS,5,N 42°27.222',W 72°10.155',NAD83,68.1,962,0.81,199,S,21,95,5,4,5.5,4.6,3,3,9,22,3.58
SC2MD,SC2,MD,1,N 42°27.122',W 72°10.098',NAD83,26.3,1019,0.51,344,N,19,93,13,9,108.8,105.7,3.6,3,11,18,3.764
SC2MD,SC2,MD,2,N 42°27.136',W 72°10.094',NAD83,43.8,1754,0.28,254,W,20,93,6,6,19.1,19.1,4,1,3,9,3.95
SC2MD,SC2,MD,3,N 42°27.115',W 72°10.075',NAD83,27.9,1132,0.38,320,NW,15,93,7,6,30.2,29.6,4.1,7,4,17,3.542
SC2MD,SC2,MD,4,N 42°27.115',W 72°10.094',NAD83,62,1924,0.14,256,W,17,93,6,2,6.7,3,3,3,9,18,4.393
SC2MD,SC2,MD,5,N 42°27.122',W 72°10.087',NAD83,37.4,1754,0.24,340,N,16,92,7,6,9,8.5,3.3,4,8,10,3.751
