cwd.no,site,ft,plot,asn,tr,species,diam,dc,c
896,ER1,MD,ER1MD,4,30,UNKN,6.8,3,Y
897,ER1,MD,ER1MD,4,30,BEPA,6.4,4,Y
898,ER1,MD,ER1MD,4,30,BEPA,8.9,4,Y
899,ER1,MD,ER1MD,4,30,BEPA,13.3,5,Y
900,ER1,MD,ER1MD,4,150,UNKN,5.9,3,Y
901,ER1,MD,ER1MD,4,270,UNKN,2.7,3,Y
902,ER1,MD,ER1MD,5,30,FAGR,2.9,3,Y
903,ER1,MD,ER1MD,5,30,FAGR,3.3,2,N
904,ER1,MD,ER1MD,5,30,ACRU,6.6,3,N
905,ER1,MD,ER1MD,5,150,UNKN,2.7,3,N
906,ER1,MD,ER1MD,5,150,ACRU,12.5,5,Y
907,NSF,TS,NSFTS,1,30,TSCA,7,4,Y
908,NSF,TS,NSFTS,1,150,TSCA,2.5,3,Y
909,NSF,TS,NSFTS,1,150,TSCA,3.4,2,Y
910,NSF,TS,NSFTS,2,30,UNKN,5,3,Y
911,NSF,TS,NSFTS,2,270,QURU,2.7,2,Y
912,NSF,TS,NSFTS,2,270,QURU,3.2,2,Y
913,NSF,TS,NSFTS,3,30,QURU,3.7,3,Y
914,NSF,TS,NSFTS,3,150,UNKN,18.4,4,Y
915,NSF,TS,NSFTS,3,150,BELE,3.2,2,N
916,NSF,TS,NSFTS,3,150,BELE,5.5,2,Y
917,NSF,TS,NSFTS,3,150,QURU,3.9,2,N
918,NSF,TS,NSFTS,3,270,BEPA,9.3,4,Y
919,NSF,TS,NSFTS,3,270,BEPA,6.8,3,Y
920,NSF,TS,NSFTS,4,30,FAGR,4.7,3,N
921,NSF,TS,NSFTS,4,30,FAGR,2.9,2,Y
922,NSF,TS,NSFTS,5,150,ACRU,2.9,2,Y
923,NSF,TS,NSFTS,5,150,ACRU,2.8,2,Y
924,NSF,MD,NSFMD,1,30,UNKN,3.4,3,N
925,NSF,MD,NSFMD,1,30,FAGR,7.9,2,Y
926,NSF,MD,NSFMD,1,30,PIST,13.9,3,N
927,NSF,MD,NSFMD,1,150,UNKN,9.9,3,Y
928,NSF,MD,NSFMD,1,150,UNKN,7.9,4,Y
929,NSF,MD,NSFMD,1,270,QURU,12.4,3,N
930,NSF,MD,NSFMD,1,270,UNKN,3.4,3,Y
931,NSF,MD,NSFMD,1,270,BELE,17.3,3,Y
932,NSF,MD,NSFMD,2,30,BEPA,8.2,5,Y
933,NSF,MD,NSFMD,2,30,BEPA,7.1,4,Y
934,NSF,MD,NSFMD,2,30,BELE,11.5,5,Y
935,NSF,MD,NSFMD,2,30,QURU,4.4,5,Y
936,NSF,MD,NSFMD,2,150,BEPA,10.3,3,Y
937,NSF,MD,NSFMD,2,150,QURU,5,3,Y
938,NSF,MD,NSFMD,2,150,QURU,3,2,N
939,NSF,MD,NSFMD,2,150,BELE,14,4,Y
940,NSF,MD,NSFMD,2,270,QURU,3.2,3,N
941,NSF,MD,NSFMD,2,270,BEPA,8.1,5,Y
942,NSF,MD,NSFMD,2,270,QURU,4.7,4,Y
943,NSF,MD,NSFMD,3,30,BELE,17.6,4,Y
944,NSF,MD,NSFMD,3,30,BELE,17.9,4,Y
945,NSF,MD,NSFMD,3,150,UNKN,2.7,3,N
946,NSF,MD,NSFMD,3,150,BELE,2.9,2,N
947,NSF,MD,NSFMD,3,270,FAGR,10.1,5,Y
948,NSF,MD,NSFMD,4,30,UNKN,7.2,3,Y
949,NSF,MD,NSFMD,4,150,UNKN,2.9,3,Y
950,NSF,MD,NSFMD,4,150,FAGR,2.7,3,N
951,NSF,MD,NSFMD,4,150,FAGR,2.7,3,N
952,NSF,MD,NSFMD,4,270,ACRU,12.5,5,Y
953,NSF,MD,NSFMD,4,270,ACRU,4.7,3,N
954,NSF,MD,NSFMD,4,270,ACRU,15.6,5,Y
955,NSF,MD,NSFMD,4,270,ACRU,16.1,3,Y
956,NSF,MD,NSFMD,5,150,ACRU,11.3,5,Y
957,MGSF,MD,MGSFMD,1,30,BEPA,4.5,5,Y
958,MGSF,MD,MGSFMD,1,30,BEPA,7.5,2,N
959,MGSF,MD,MGSFMD,1,30,BEPA,3.1,3,Y
960,MGSF,MD,MGSFMD,1,30,UNKN,9.4,4,Y
961,MGSF,MD,MGSFMD,1,30,UNKN,8.2,3,Y
962,MGSF,MD,MGSFMD,1,30,BEPA,4.3,5,Y
963,MGSF,MD,MGSFMD,1,30,BEAL,3.7,4,Y
964,MGSF,MD,MGSFMD,1,150,BEPA,3.5,5,Y
965,MGSF,MD,MGSFMD,1,150,UNKN,14,3,Y
966,MGSF,MD,MGSFMD,1,150,BEPA,5.6,3,Y
967,MGSF,MD,MGSFMD,1,150,ACRU,7.1,3,N
968,MGSF,MD,MGSFMD,1,150,QURU,4,3,Y
969,MGSF,MD,MGSFMD,1,270,BEPA,5,5,Y
970,MGSF,MD,MGSFMD,1,270,ACRU,4.3,3,Y
971,MGSF,MD,MGSFMD,1,270,ACRU,2.6,2,N
972,MGSF,MD,MGSFMD,1,270,BEPA,13.6,2,N
973,MGSF,MD,MGSFMD,1,270,ACRU,3.9,2,Y
974,MGSF,MD,MGSFMD,1,270,QURU,3.5,3,Y
975,MGSF,MD,MGSFMD,1,270,UNKN,21.7,3,Y
976,MGSF,MD,MGSFMD,2,30,UNKN,11.3,4,N
977,MGSF,MD,MGSFMD,2,30,BELE,2.9,3,N
978,MGSF,MD,MGSFMD,2,150,QURU,15.8,3,N
979,MGSF,MD,MGSFMD,2,150,QURU,8.4,3,N
980,MGSF,MD,MGSFMD,2,150,BEAL,3.2,2,N
981,MGSF,MD,MGSFMD,2,270,QURU,4.6,3,Y
982,MGSF,MD,MGSFMD,2,270,QURU,3.7,3,Y
983,MGSF,MD,MGSFMD,2,270,FAGR,10.5,3,Y
984,MGSF,MD,MGSFMD,3,30,QURU,4.2,3,Y
985,MGSF,MD,MGSFMD,3,270,QURU,16.1,3,Y
986,MGSF,MD,MGSFMD,4,270,TSCA,13.2,3,Y
987,MGSF,MD,MGSFMD,4,270,BEPA,9.9,4,Y
988,MGSF,MD,MGSFMD,4,270,UNKN,11.6,3,Y
989,MGSF,MD,MGSFMD,4,270,UNKN,4.6,3,Y
990,MGSF,MD,MGSFMD,5,150,FAGR,2.6,2,N
991,MGSF,MD,MGSFMD,5,270,FAGR,4.8,2,N
992,MGSF,MD,MGSFMD,5,270,BELE,2.7,2,N
993,MGSF,MD,MGSFMD,5,270,UNKN,6.8,3,Y
994,MGSF,MD,MGSFMD,5,270,FAGR,2.7,2,N
995,WSF,TS,WSFTS,1,30,QURU,2.8,3,Y
996,WSF,TS,WSFTS,1,150,QURU,4.2,3,N
997,WSF,TS,WSFTS,1,270,TSCA,3.7,1,N
998,WSF,TS,WSFTS,1,270,QURU,13.1,3,N
999,WSF,TS,WSFTS,2,30,TSCA,2.7,2,Y
1000,WSF,TS,WSFTS,2,30,UNKN,4.4,5,Y
1001,WSF,TS,WSFTS,2,150,TSCA,2.9,2,Y
1002,WSF,TS,WSFTS,2,150,TSCA,7,3,Y
1003,WSF,TS,WSFTS,2,270,FAGR,8.3,5,Y
1004,WSF,TS,WSFTS,2,270,TSCA,15.4,3,Y
1005,WSF,TS,WSFTS,2,270,TSCA,3.7,2,Y
1006,WSF,TS,WSFTS,3,30,FAGR,9.6,5,Y
1007,WSF,TS,WSFTS,3,30,FAGR,6.7,2,Y
1008,WSF,TS,WSFTS,3,30,FAGR,6.9,4,N
1009,WSF,TS,WSFTS,3,150,QURU,3.8,3,Y
1010,WSF,TS,WSFTS,4,30,FAGR,10.7,3,Y
1011,WSF,TS,WSFTS,4,30,FAGR,17,3,N
1012,WSF,TS,WSFTS,4,150,TSCA,2.7,2,N
1013,WSF,TS,WSFTS,4,150,FAGR,11.4,3,Y
1014,WSF,TS,WSFTS,4,150,FAGR,9.9,3,Y
1015,WSF,TS,WSFTS,4,150,ACRU,4.3,2,Y
1016,WSF,TS,WSFTS,4,150,ACRU,2.5,2,N
1017,WSF,TS,WSFTS,4,150,TSCA,4.3,2,N
1018,WSF,TS,WSFTS,4,150,BEPA,2.6,5,Y
1019,WSF,TS,WSFTS,4,270,TSCA,2.9,2,Y
1020,WSF,TS,WSFTS,4,270,FAGR,13,3,Y
1021,WSF,TS,WSFTS,4,270,FAGR,10.7,5,Y
1022,WSF,TS,WSFTS,4,270,FAGR,2.7,5,Y
1023,WSF,TS,WSFTS,5,30,FAGR,4,2,Y
1024,WSF,TS,WSFTS,5,30,QURU,5.8,3,Y
1025,WSF,TS,WSFTS,5,150,FAGR,3.5,2,Y
1026,WSF,TS,WSFTS,5,150,FAGR,3.6,5,Y
1027,WSF,TS,WSFTS,5,150,UNKN,3.3,3,N
1028,WSF,MD,WSFMD,1,30,UNKN,5.5,3,Y
1029,WSF,MD,WSFMD,1,30,UNKN,8,3,Y
1030,WSF,MD,WSFMD,1,150,UNKN,7.2,4,Y
1031,WSF,MD,WSFMD,1,150,UNKN,7.2,3,Y
1032,WSF,MD,WSFMD,1,270,BEAL,12.7,4,Y
1033,WSF,MD,WSFMD,2,150,FAGR,3.1,2,Y
1034,WSF,MD,WSFMD,3,270,UNKN,3.4,3,Y
1035,WSF,MD,WSFMD,3,270,FAGR,4.3,3,Y
1036,WSF,MD,WSFMD,3,270,UNKN,2.9,3,Y
1037,WSF,MD,WSFMD,4,30,BEAL,4.6,5,N
1038,WSF,MD,WSFMD,4,30,BEPA,13.6,4,Y
1039,WSF,MD,WSFMD,4,30,BEPA,7.7,3,Y
1040,WSF,MD,WSFMD,4,30,UNKN,5.8,3,Y
1041,WSF,MD,WSFMD,4,30,BEPA,11.8,5,Y
1042,WSF,MD,WSFMD,4,150,FAGR,25.7,2,Y
1043,WSF,MD,WSFMD,4,270,TSCA,2.9,2,N
1044,WSF,MD,WSFMD,4,270,FAGR,7.9,5,Y
1045,WSF,MD,WSFMD,4,270,BEPA,7.8,4,Y
1046,WSF,MD,WSFMD,4,270,UNKN,15.3,3,Y
1047,WSF,MD,WSFMD,4,270,UNKN,5.8,3,Y
1048,WSF,MD,WSFMD,5,30,UNKN,7.9,5,Y
1049,WSF,MD,WSFMD,5,150,FAGR,13.3,3,N
1050,WSF,MD,WSFMD,5,150,FAGR,10.6,5,Y
1051,WSF,MD,WSFMD,5,270,FAGR,6.9,3,Y
1052,WSF,MD,WSFMD,5,270,FAGR,3.9,3,Y
1053,WSF,MD,WSFMD,5,270,FAGR,4.3,4,Y
1054,MGSF,TS,MGSFTS,1,30,BELE,7.2,5,Y
1055,MGSF,TS,MGSFTS,1,30,BELE,2.7,5,Y
1056,MGSF,TS,MGSFTS,1,30,BELE,8,5,Y
1057,MGSF,TS,MGSFTS,1,30,UNKN,6.9,4,Y
1058,MGSF,TS,MGSFTS,1,30,UNKN,7.4,4,Y
1059,MGSF,TS,MGSFTS,1,150,UNKN,7.6,3,N
1060,MGSF,TS,MGSFTS,1,150,UNKN,9.1,3,N
1061,MGSF,TS,MGSFTS,1,150,UNKN,7.8,4,Y
1062,MGSF,TS,MGSFTS,1,150,UNKN,20.3,3,N
1063,MGSF,TS,MGSFTS,1,270,BELE,2.9,5,Y
1064,MGSF,TS,MGSFTS,2,30,TSCA,5.5,5,Y
1065,MGSF,TS,MGSFTS,2,30,UNKN,2.7,3,Y
1066,MGSF,TS,MGSFTS,2,30,UNKN,3,3,Y
1067,MGSF,TS,MGSFTS,2,30,FAGR,9.8,2,Y
1068,MGSF,TS,MGSFTS,2,270,FAGR,12.5,2,Y
1069,MGSF,TS,MGSFTS,2,270,TSCA,2.9,2,Y
1070,MGSF,TS,MGSFTS,2,270,TSCA,5.2,2,Y
1071,MGSF,TS,MGSFTS,3,30,TSCA,8.6,3,Y
1072,MGSF,TS,MGSFTS,3,30,FAGR,8.9,4,Y
1073,MGSF,TS,MGSFTS,3,30,UNKN,5.1,3,Y
1074,MGSF,TS,MGSFTS,3,30,FAGR,17.4,3,Y
1075,MGSF,TS,MGSFTS,3,150,TSCA,6.4,3,Y
1076,MGSF,TS,MGSFTS,3,150,BEPA,9.7,2,N
1077,MGSF,TS,MGSFTS,3,150,BEPA,7.8,1,N
1078,MGSF,TS,MGSFTS,3,150,QURU,5.7,3,Y
1079,MGSF,TS,MGSFTS,3,150,BELE,3.9,1,Y
1080,MGSF,TS,MGSFTS,3,150,BELE,2.6,1,N
1081,MGSF,TS,MGSFTS,3,150,UNKN,3.3,3,Y
1082,MGSF,TS,MGSFTS,3,270,BELE,5.6,1,N
1083,MGSF,TS,MGSFTS,3,270,TSCA,13.2,1,Y
1084,MGSF,TS,MGSFTS,3,270,TSCA,3.6,2,Y
1085,MGSF,TS,MGSFTS,4,30,UNKN,5,3,Y
1086,MGSF,TS,MGSFTS,4,30,BELE,4,5,Y
1087,MGSF,TS,MGSFTS,4,150,BELE,2.7,2,N
1088,MGSF,TS,MGSFTS,4,270,TSCA,3.7,2,Y
1089,MGSF,TS,MGSFTS,4,270,TSCA,4.4,2,Y
1090,MGSF,TS,MGSFTS,4,270,BELE,3,2,N
1091,MGSF,TS,MGSFTS,4,270,TSCA,7.8,3,Y
1092,MGSF,TS,MGSFTS,4,270,TSCA,3.7,5,Y
1093,MGSF,TS,MGSFTS,4,270,TSCA,8.5,5,Y
1094,MGSF,TS,MGSFTS,4,270,TSCA,5.2,2,N
1095,MGSF,TS,MGSFTS,4,270,TSCA,2.8,2,N
1096,MGSF,TS,MGSFTS,5,30,UNKN,5,3,Y
1097,MGSF,TS,MGSFTS,5,30,UNKN,4.6,3,Y
1098,MGSF,TS,MGSFTS,5,30,FAGR,32.4,4,Y
1099,MGSF,TS,MGSFTS,5,150,UNKN,12.8,4,N
1100,MGSF,TS,MGSFTS,5,150,UNKN,9.5,3,N
1101,MGSF,TS,MGSFTS,5,150,UNKN,12.4,3,N
1102,MGSF,TS,MGSFTS,5,270,FAGR,5.3,2,N
1103,MGSF,TS,MGSFTS,5,270,PIST,4.7,3,N
